"Date";"Open";"Close";"High";"Low";"Stochastic Oscillator";"RSI Move";"Target";"Wiki_Move";"Wiki_MA3_Move";"Wiki_EMA5_Move";"Wiki_RSI_Move";"Wiki_5day_Disparity";"Wiki_5day_Disparity_Move";"Wiki_3day_Disparity";"Google_EMA5_Move";"Google_MA_6";"Google_Move";"Google_3day_Disparity_Move";"Google_RSI_Move";"Google_ROC_Move"
2015-07-16;127,740370653131;123,081818;128,569791387199;127,349604302669;NA;NA;"1";"1";"1";"1";NA;1,23416774708288;"1";1,17717003567182;"0";0,166666666666667;"0";"NaN";NA;"NaN"
2015-07-17;129,080264994301;124,14492;129,620441954499;128,310225497849;NA;NA;"1";"0";"0";"0";NA;0,861948318088669;"0";0,861819090454773;"1";0,333333333333333;"1";"NaN";NA;"1"
2015-07-20;130,969945351771;126,491463;132,969749703595;130,69985683299;NA;NA;"1";"1";"1";"1";NA;1,03710282218275;"1";1,00071411568674;"1";0,5;"0";"0";NA;"NaN"
2015-07-21;132,850003979289;125,227188;132,919920497254;130,319600685247;43,6889328717068;NA;"0";"0";"0";"0";NA;0,937750601443464;"0";0,98516893374287;"0";0,5;"0";"0";NA;"NaN"
2015-07-22;121,989963258585;119,930779;125,50015573203;121,989963258585;5,16854980528243;NA;"1";"1";"1";"0";NA;0,959608444158798;"1";0,984612783226243;"1";0,666666666666667;"1";"1";NA;"NaN"
2015-07-23;126,200267925814;119,873306;127,090027415387;125,059575189451;4,75055301236544;0;"0";"0";"0";"0";"0";1,01143543418098;"1";1,01078448425813;"1";1,16666666666667;"1";"1";"1";"NaN"
2015-07-24;125,320102594474;119,241196;125,739601741847;123,899743609189;0,153264672262285;0;"0";"0";"0";"0";"0";0,902828514768813;"0";0,92546362339515;"0";1,16666666666667;"0";"0";"0";"0"
2015-07-27;123,090427235418;117,584259;123,609533449765;122,120215805283;-11,8975131201877;0;"1";"1";"0";"0";"1";0,996038331816478;"1";1,00976933514247;"0";0,833333333333333;"0";"0";"1";"NaN"
2015-07-28;123,379681432177;118,168503;123,910280818251;122,550260731203;-7,64835058680703;1;"0";"1";"0";"1";"1";1,02971665514858;"1";1,05128900949796;"1";0,833333333333333;"1";"1";"1";"1"
2015-07-29;123,149809144708;117,794968;123,500349505624;122,269627200222;-29,0438202649764;0;"0";"1";"1";"1";"1";1,05762121052076;"1";1,03577586206897;"1";1;"0";"0";"1";"0"
2015-07-30;122,320391381048;117,201164;122,570366890193;121,710297897043;-40,0475438281878;0;"1";"1";"1";"1";"1";1,0524246395806;"0";1,01269547671095;"1";1;"0";"0";"0";"0"
2015-07-31;122,60004988187;116,176353;122,640275823381;120,909602577883;-39,2470301443647;0;"0";"0";"0";"0";"0";0,878207158694964;"0";0,879615757468935;"0";0,5;"0";"0";"0";"NaN"
2015-08-03;121,499583077565;113,437157;122,570359330389;117,52008814869;-26,4273177388382;0;"0";"1";"0";"0";"1";0,942581436263795;"1";0,975179260893547;"1";0,666666666666667;"1";"1";"1";"NaN"
2015-08-04;117,419527380352;109,797668;117,700151220239;113,250395724969;-17,5093348834398;0;"0";"1";"0";"1";"1";1,04007024265645;"1";1,08865577422948;"1";1;"1";"1";"1";"0"
2015-08-05;112,949664137735;110,525574;117,439645783594;112,100130494417;-7,54473035006183;1;"1";"0";"1";"0";"0";0,996155095851836;"0";0,99217907227616;"1";1,16666666666667;"0";"0";"0";"0"
2015-08-06;115,970069229742;110,76609;116,500184031969;114,119958949013;-6,39226083162312;1;"0";"1";"1";"1";"1";1,0338676034691;"1";0,995244385733157;"0";1;"0";"0";"0";"0"
2015-08-07;114,579852741738;111,141319;116,25005127701;114,49999877951;-4,60528897883458;1;"1";"0";"0";"0";"0";0,924963056209293;"0";0,93663402918899;"1";1,16666666666667;"1";"1";"1";"1"
2015-08-10;116,530009298897;115,182114;119,989705911696;116,530009298897;20,5604049302785;1;"1";"1";"1";"1";"1";1,0861134721632;"1";1,09175863296547;"0";1,16666666666667;"0";"0";"0";"0"
2015-08-11;117,809590197085;109,188248;118,179997071883;113,330072251477;-19,4256338770652;0;"0";"1";"1";"1";"1";1,11669443865861;"1";1,09431876169417;"0";1;"0";"0";"1";"NaN"
2015-08-12;112,529610986578;110,871918;115,41974676801;109,629854247151;7,71001378673178;1;"1";"0";"1";"0";"0";1,00468372021205;"0";0,953590620420127;"0";0,666666666666667;"0";"NaN";"0";"NaN"
2015-08-13;116,040304606056;110,785339;116,400128453788;114,540397176606;8,09138821656182;0;"0";"1";"1";"1";"1";1,10068216899866;"1";1,05145076898684;"1";0,666666666666667;"1";"NaN";"1";"1"
2015-08-14;114,320072357848;111,564629;116,309686489977;114,010277507488;13,5484380891272;1;"1";"0";"0";"0";"0";0,880074983967244;"0";0,900025224922223;"0";0,666666666666667;"0";"0";"0";"0"
2015-08-17;116,040313272301;112,719162;117,649899748808;115,499615364472;22,272512230316;1;"1";"1";"0";"0";"1";0,969814704124328;"1";0,983085079525372;"1";0,666666666666667;"1";"1";"1";"1"
2015-08-18;116,429938391279;112,084152;117,440138902867;116,010464655039;18,8640909018099;0;"0";"1";"0";"1";"1";1,0246273166801;"1";1,05862457722661;"0";0,666666666666667;"0";"0";"0";"NaN"
2015-08-19;116,099950791306;110,650642;116,520386663953;114,679897363327;7,8459237225158;0;"0";"0";"1";"1";"0";1,00840756681013;"0";1,0080880513633;"0";0,666666666666667;"0";"0";"0";"NaN"
2015-08-20;114,079549711007;108,380096;114,349898636309;111,630053754353;-9,65772386094955;0;"0";"0";"1";"1";"0";1,02508429549402;"1";0,993972919418758;"1";0,833333333333333;"1";"1";"1";"NaN"
2015-08-21;110,430323736936;101,751259;111,900406195444;105,649669459235;-27,185498950147;0;"0";"0";"0";"0";"0";0,961548165716304;"0";0,964484562173106;"0";0,5;"0";"0";"0";"NaN"
2015-08-24;94,8703543295281;99,211334;108,799579037289;92,0004222047007;25,7631165941449;0;"1";"1";"1";"1";"1";1,03767481212363;"1";1,04302151075538;"1";0,666666666666667;"1";"1";"1";"NaN"
2015-08-25;111,109557245143;99,807816;111,109557245143;103,500341590984;27,8942250792503;1;"0";"1";"1";"1";"1";1,06096361848574;"1";1,05293974140034;"0";0,333333333333333;"0";"0";"0";"NaN"
2015-08-26;107,089926246469;105,532295;109,889625151115;105,050283058204;48,3466205743491;1;"1";"0";"1";"1";"0";1,00871182458888;"0";0,980805837563452;"1";0,5;"1";"1";"1";"NaN"
2015-08-27;112,230405654311;108,639862;113,239644205998;110,020471475832;59,4493234249521;1;"0";"0";"0";"0";"0";0,984003522160258;"0";0,96854185057379;"1";0,666666666666667;"0";"0";"0";"0"
2015-08-28;112,169787077908;108,995834;113,309870599401;111,539614329741;64,9185935276746;1;"0";"0";"0";"0";"0";0,904299857163966;"0";0,932216298552932;"1";0,666666666666667;"0";"0";"0";"1"
2015-08-31;112,030290220853;108,485931;114,52981526288;112,00046524922;64,2722985953621;0;"0";"1";"1";"1";"1";1,25458513256257;"1";1,23765172913963;"1";1;"1";"1";"1";"0"
2015-09-01;110,15035075863;103,636963;111,880199048123;107,360272872352;45,3675548567751;0;"1";"0";"1";"1";"0";1,14000089657955;"0";1,07739019912442;"0";0,833333333333333;"0";"0";"0";"NaN"
2015-09-02;110,230196663965;108,081833;112,340072649442;109,129559122977;62,6968357060885;1;"1";"1";"1";"1";"1";1,12458443440457;"0";1,00405911080104;"1";1;"1";"1";"1";"NaN"
2015-09-03;112,490164775587;106,186516;112,77975561048;110,039706780655;55,3075350985391;0;"0";"0";"0";"1";"0";1,03269521204947;"0";0,984244310445439;"1";1,16666666666667;"1";"1";"1";"1"
2015-09-04;108,969863664918;105,128212;110,449567101315;108,509981842683;51,6035219694314;0;"1";"0";"0";"0";"0";0,78707824257626;"0";0,820424515040765;"0";1;"0";"0";"0";"0"
2015-09-08;111,750315139236;108,052979;112,560399815028;110,319678663105;65,4672922629059;1;"1";"1";"0";"1";"1";1,03294581604568;"1";1,07918454935622;"1";1;"1";"1";"1";"1"
2015-09-09;113,760131267796;105,974854;114,019897133075;109,770319996272;62,0275555547014;0;"0";"1";"1";"1";"1";1,12035619308566;"1";1,15206132173192;"1";0,833333333333333;"0";"1";"0";"1"
2015-09-10;110,269639666199;108,303116;113,280037196305;109,900194906991;72,3618863286709;1;"1";"1";"1";"1";"1";1,13921049511993;"1";1,05759354365371;"0";0,833333333333333;"0";"0";"0";"0"
2015-09-11;111,789758005742;109,880959;114,210391008672;111,75993303631;79,3653728226275;1;"1";"0";"1";"0";"0";1,00965707528577;"0";0,934285714285714;"0";0,666666666666667;"0";"0";"0";"NaN"
2015-09-14;116,580031458556;110,939262;116,88982629841;114,859804211167;55,5579290134315;1;"0";"1";"1";"1";"1";1,04583946980854;"1";1,02854556427278;"1";0,5;"1";"1";"1";"1"
2015-09-15;115,929656926691;111,872498;116,530004702339;114,420128625422;57,6222815642774;1;"1";"0";"0";"1";"0";1,00104802862202;"0";1,01688693098385;"0";0,5;"0";"0";"0";"0"
2015-09-16;116,250040780258;111,997581;116,539631629177;115,43995607996;48,6623865811771;1;"0";"0";"1";"0";"0";0,984526533725618;"0";0,977226294916476;"1";0,5;"1";"1";"1";"1"
